id,name,author,publication,genre,year,price
1,The Silent Dawn,Aria Collins,BluePeak Publishers,Fantasy,2018,12.99
2,Midnight Echoes,James Holloway,Sunrise Press,Mystery,2019,15.50
3,Whispers in Time,Elena Carter,Oakwood Publishing,Sci-Fi,2020,11.75
4,The Last Kingdom of Stars,Michael Trent,Galaxy Books,Fantasy,2021,18.20
5,Beneath Crimson Skies,Sophia Lang,Evergreen Press,Romance,2017,14.30
6,The Forgotten Library,Daniel Brooks,Heritage Books,Historical,2016,10.99
7,Shadows of Tomorrow,Olivia Grant,Nova Publishing,Sci-Fi,2022,16.80
8,The Crystal Path,Ryan Mitchell,SilverLeaf Press,Adventure,2015,13.45
9,Echoes of Eternity,Isabella Reed,Starlight Books,Fantasy,2023,19.99
10,The Hidden Harbor,Noah Bennett,BlueWave Publishing,Mystery,2014,12.50
11,Flames of Destiny,Emma Walker,Redwood Press,Fantasy,2018,15.25
12,The Lost Chronicle,William Hayes,Phoenix Books,Historical,2019,17.10
13,Fragments of Light,Chloe Adams,Lumina Press,Drama,2020,14.99
14,The Iron Gate,Liam Foster,IronOak Publishing,Thriller,2021,13.80
15,Secrets of the Deep,Ava Murphy,DeepSea Books,Adventure,2022,16.40
16,The Wandering Soul,Lucas Parker,Windmill Press,Philosophy,2013,11.60
17,Veil of Dreams,Mia Thompson,Dreamline Publishing,Fantasy,2017,12.75
18,The Ancient Code,Henry Scott,Cipher Books,Tech Thriller,2020,18.50
19,Whirlwind Hearts,Amelia Carter,StormFront Press,Romance,2016,14.10
20,The Ember Crown,Ethan Rogers,Firelight Publishing,Fantasy,2023,19.25
21,Silent Horizons,Charlotte King,Horizon Books,Sci-Fi,2018,13.90
22,The Broken Seal,Alexander Young,StoneBridge Press,Thriller,2019,15.70
23,Starlight Voyage,Sofia Martinez,Galaxy Books,Sci-Fi,2021,17.95
24,The Forgotten Realm,Jack Wilson,Mystic Press,Fantasy,2015,16.20
25,Paths of Gold,Grace Lee,Golden Leaf Publishing,Adventure,2014,12.40
26,The Shadow Archive,Benjamin Clark,InkWell Press,Mystery,2022,18.75
27,Beyond the Mist,Ella Robinson,Mistwood Books,Fantasy,2017,14.60
28,The Final Ember,Logan Hall,Firestorm Press,Fantasy,2023,19.80
29,Threads of Fate,Victoria Lewis,FateLine Publishing,Drama,2016,13.25
30,The Endless Journey,Matthew Allen,OpenSky Press,Adventure,2020,16.95
31,City of Glass Dreams,Daniel Wright,Nova Books,Sci-Fi,2021,15.40
32,The Last Oracle,Emma Scott,Oracle Press,Fantasy,2019,18.60
33,Crimson Horizon,Noah Carter,Redwood Press,Thriller,2020,14.90
34,The Hidden Empire,Sophia Turner,Empire Books,Historical,2018,17.30
35,Echo Chamber,Lucas Reed,SoundWave Publishing,Mystery,2022,13.55
36,The Broken Sky,Olivia Harris,BluePeak Publishers,Fantasy,2017,16.10
37,Edge of Infinity,Henry Morgan,Galaxy Books,Sci-Fi,2023,19.40
38,The Silent Path,Amelia Brooks,Windmill Press,Philosophy,2015,11.85
39,The Frozen Flame,Ethan White,Firelight Publishing,Fantasy,2020,18.95
40,Shattered Realms,Mia Clark,Mystic Press,Fantasy,2021,17.60
41,The Glass Fortress,James Miller,StoneBridge Press,Thriller,2016,14.20
42,Lost in Aurora,Isabella Young,Polar Books,Adventure,2019,16.75
43,The Eternal War,William Scott,BattleForge Press,Historical,2022,19.10
44,Neon Shadows,Chloe Walker,NeoBooks,Sci-Fi,2021,15.90
45,The Secret Flame,Ava Johnson,Firestorm Press,Fantasy,2018,14.65
46,The Dream Forge,Noah Evans,Dreamline Publishing,Fantasy,2017,13.80
47,Whispers Beyond Time,Liam Hall,TimeGate Books,Sci-Fi,2020,17.25
48,The Lost Horizon,Grace Adams,Horizon Books,Adventure,2015,12.95
49,The Iron Shadow,Ben Carter,IronOak Publishing,Thriller,2023,19.55
50,Stars Never Fade,Sofia Lee,Galaxy Books,Fantasy,2024,20.00
